hotel_id,hotel_brand,book_date,check_in,check_out,star_rating,price
YOskXOaumVXOzrzKgvsiN9OvU9w7Xl2w7YPQCcudE+Y=,3,11/15/2022,1/26/2023,1/30/2023,,546.73
MqQmI+xoWZ0eo3hNbopMEAg5eaHlVSHGRI5Hq79VWRA=,5,11/5/2022,1/18/2023,1/19/2023,4,270.18
NBBm9qTiU0qtfJPzhfhlypAS3QxToovDfNy4g7ZQBR4=,2,11/2/2022,1/9/2023,1/21/2023,,1464.79
LQjqBMumSigfC9sZa93n9Tbe0/BREbxYmfM/SbtPBs0=,2,11/7/2022,1/13/2023,1/14/2023,4.5,319.55
P5OQPdpRX89Kvg9cHq8qRKW6znMLRmXzjtqbWcz5mZo=,2,11/6/2022,1/11/2023,1/13/2023,3.5,522.19
cuY+puOKJOEwHFlDpOw+DE+qpFvRsk9jpH8SYuv3fbo=,5,11/5/2022,1/10/2023,1/12/2023,,429.35
cE9kIeNclCeqR75/n0oJdPBt+cV/AvB4l6PHkkBZ4A0=,5,11/8/2022,1/9/2023,1/12/2023,,322.64
my0H8ArcLK3paxp7pvzsrLf1QtiQwXWMleOYFwpR8oA=,5,11/6/2022,1/7/2023,1/8/2023,3.5,263.02
8AUGUwXQQy1aefoAO5sTWEEJVP1omw8SEumeGeJpymc=,2,11/11/2022,1/24/2023,1/25/2023,2.5,232.9
w9cAEFOT+2V0lSXks3C2QEqk9mjDI/afMd6AYSKt0p8=,5,11/8/2022,1/13/2023,1/15/2023,2.5,553.84
fs27ifQTiLA6sYZNY7A+DsAzGX6iT2/LLw8bwaBCcsM=,1,11/9/2022,1/9/2023,1/14/2023,2.5,958.02
tUvAF9WPQtSgZhY62xPhk4PhdhPrcbxZGZ7xD2oOjJQ=,5,11/14/2022,1/18/2023,1/22/2023,3,284.47
mxJpSl/hBc1EQr2a8Wv2BRomjR4zwiWtkur9PnLyaz0=,5,6/21/2022,1/13/2023,1/15/2023,2.5,328.39
tHTUdnKiVJheyanzPYpJVDO9+o5s9mP/RwLj0CzSDi8=,5,6/15/2022,1/8/2023,1/9/2023,3.5,284.28
4isjoRCX0p174N7oNrJkm1s35vzLaNEgozRRaRqvGM8=,5,6/9/2022,1/6/2023,1/10/2023,,740.67
LZcN3b4lOAEgDQf3/i+/AqTr9Q3GlYoTmrekYsZeHQc=,2,3/8/2022,1/23/2023,1/25/2023,,844
O9p8cJ2n+8zCTZyo4mzv8XJt1fuX9ad3Y1EKG5N2e58=,2,3/19/2022,1/23/2023,1/24/2023,3.5,317.4
BkUHaSApzguduyxepB9OnS5O7exPjrUntwznt5wK1rg=,2,3/8/2022,1/1/2023,1/3/2023,4.5,191.53
mHCvgo/Z5pGclBEVw6XG4SaqKApqeg5pwigFno4YJdE=,5,5/27/2022,1/9/2023,1/10/2023,4,293.36
ue9aaMv8b4NUUlfSmC07KmXE0iKmeDk1CxsuJhy5phQ=,3,6/3/2022,1/23/2023,1/26/2023,,3557.3
WaSiOB1cS4T5qKFLgoWrZglknmtNL0ie+kSKsZqiOHA=,5,5/30/2022,1/11/2023,1/12/2023,,278.4
gQK91VfOdjpXDNUsESMWIZgBdvhdnifGLP6UiSLBLz8=,5,5/30/2022,1/11/2023,1/12/2023,3.5,320.39
1gGZVpFjvJg5es6rMaGnJj5RlhHucCZsrNJcErSbpjM=,3,11/1/2022,1/11/2023,1/14/2023,4.5,774.43
qQKCLtdvbyuztc7UB/yaEpItRwVIb6OM6zV2JT8w254=,4,11/5/2022,1/10/2023,1/12/2023,3,446.97
Jun9V3nTBDulPGBBaV1h00oqShODKEWKa4kTswyfPu4=,2,11/5/2022,1/13/2023,1/16/2023,,482
Nu8ULC3IxRMpy9lW6edaOx8cnsZMErqv8F9ddsvOib4=,5,11/2/2022,1/9/2023,1/11/2023,4.5,568.06
COpaSJECL7sPPqSSdim4Oy7TH7MInVjuI5QZ1p1S1/Y=,3,11/9/2022,1/24/2023,1/27/2023,4,1448.89
IXUKyR42gaUZtNGspp2DOh+Y3ObZytCIDtWy9q/KS10=,2,11/3/2022,1/5/2023,1/8/2023,,716.34
OxwQWwkvZKgDputdYiA4/MMyBMnVk8uR0zWHMDvA2fU=,3,11/14/2022,1/18/2023,1/20/2023,,405.57
jDJbjOHoBJJO5z4euh+jsglT8BV+dEzHVLhIos36DeI=,5,11/11/2022,1/24/2023,1/25/2023,4.5,181.35
OxyGcUmYD8VVx2cJlRUAzsmmUuZs5eCVPHffo0AQDko=,3,11/2/2022,1/6/2023,1/7/2023,3,122.3
bPUDyYzn6rSxCDjWJ5mynfG/xJ6CKmMWPxUqRFx5mS4=,1,11/7/2022,1/11/2023,1/14/2023,2.5,743.62
jDJbjOHoBJJO5z4euh+jsglT8BV+dEzHVLhIos36DeI=,5,11/5/2022,1/18/2023,1/19/2023,3.5,159.61
rH6CZ6RgXMd65zS9kyDiEIXSkBDWIyYkfKXdQdxgVKo=,4,11/1/2022,1/11/2023,1/15/2023,,1772.89
+M94VRpAROF09dSdI9ZvYGL8NeuJKJmnVW2lWHacEMY=,4,11/15/2022,1/26/2023,1/30/2023,4,909.3
1OwyWwjLJtXRKJLBxYunbJN4gLetTH4nRXfgMzhQO6o=,1,11/9/2022,1/26/2023,1/27/2023,,76.55
B9yTCKC94xZFv423qpxug8XKPp/aiGbjQlQA+nq0wDk=,1,11/8/2022,1/24/2023,1/27/2023,3.5,508.5
q7a/x+c06/7dn7Ld7Y/eC2+bKthERingj84sMACnNLU=,3,11/2/2022,1/4/2023,1/9/2023,,2515.84
1He5xYbXgPrK0WzPmunrPy+jP4rd8LCKvKeBKYlE/Jw=,4,11/7/2022,1/23/2023,1/24/2023,3.5,138.37
u9i3Mo6ZTCZa3CH3kNO5HfRWJ+8ErMxNLoXWECWJ1HA=,5,11/6/2022,1/24/2023,1/27/2023,3.5,291.65
z52TVK87i1SZ5tpaSzIBgntmnX8xkmQZVjPGCSIQURs=,3,11/6/2022,1/26/2023,1/27/2023,,621.27
Q44ecB2R91O8RgYopA5PIumSLyNvdpcAV1pE73luy+M=,4,11/13/2022,1/24/2023,1/27/2023,3,4174.61
HAv9HSJ9QRObS7P65+yixkPScEHNXYGnYT2vn8sXysw=,3,11/10/2022,1/26/2023,1/30/2023,,1054.32
DNlonksntbHJdgukUPGvKeGUVKSUXlXhnHZI7BQzx3I=,2,11/6/2022,1/23/2023,1/24/2023,2.5,139.55
VfytcrvL/c2lvQimUTH1yL2a47AhQ3UTrJg8b+wubo8=,5,11/3/2022,1/11/2023,1/13/2023,3.5,302.83
B3RIUoWs+BwBa1WxFYfNyJJQw7jol0nI7vFeVNGb0yg=,3,11/10/2022,1/10/2023,1/13/2023,3.5,736.59
+lFQoKpI4Xmp3cP1s7YcE+Rh9mdTjUc8wep0an1XGUU=,5,11/12/2022,1/13/2023,1/14/2023,3.5,290.79
GB81oTQC6LSBmaEP80Lzweo+CI4QOFz5JWeEzGgBJVg=,2,11/3/2022,1/7/2023,1/8/2023,4.5,142.22
jJPrQje5Dz63dSYNkae3MhbKlfl/lHsnMACpCwLB8i4=,5,11/14/2022,1/24/2023,1/28/2023,,846.38
V3XE/m47ixl7l2JKdOIyTii9vPeI8Clh6wYwPh5iTRc=,5,11/5/2022,1/9/2023,1/12/2023,2.5,813.96
qvnumcQgUyBMnTACXAQyYSoRdhdSwToftIt21FvVxFk=,2,11/2/2022,1/8/2023,1/9/2023,4,523.13
95PH5wb+Ijtr+LY7PrHQarKcRmNCV7RC/xkB5qxFT0k=,3,11/4/2022,1/9/2023,1/11/2023,4.5,1211.51
cLS41PlcaEQxT7Cj9FuPVt1W6Vxyn+yUFr8v+KuxHLo=,5,11/14/2022,1/26/2023,1/31/2023,4.5,1760.03
1FENyzvQrLPvwt8GTrYdAg4p9riGeJonWOZGrGFef7A=,5,11/4/2022,1/5/2023,1/6/2023,,261.41
V3XE/m47ixl7l2JKdOIyTii9vPeI8Clh6wYwPh5iTRc=,5,11/5/2022,1/9/2023,1/12/2023,3.5,342.95
caRC5tWDukP/8gaPnPAiyL+C9dAYVc49AnCM6SwDh6Y=,5,11/4/2022,1/7/2023,1/13/2023,4.5,816.36
kYHa0L3XbyKXJrUqA94AEGK5fMYRU9w2pN5qxjDr2tk=,5,11/11/2022,1/18/2023,1/19/2023,,233.02
23NDU/c4qEG48yDgKnJrP/3Lf0vQaVxGj1AfQIsEY3Y=,5,11/3/2022,1/18/2023,1/22/2023,2.5,5594.61
e24OFWy+gg1sKc81AV0EoNXToPIr8aH9Odv0xE3abVU=,5,11/3/2022,1/3/2023,1/4/2023,3.5,484.89
eZsObSx5WeDlZK8zg3MXpeYmEnd+i9/FDjtPt0LG7Bo=,3,11/3/2022,1/9/2023,1/13/2023,4,1078.39
+Lh0sCoJI/J+Yoe62aqN/gM0EN6uwBEkL6cYSTfjE0A=,3,11/7/2022,1/18/2023,1/23/2023,,1342.5
qagOYCmoHg5I6817/2+oUQBMM/5wZKeaJ+XZHm7h8P4=,5,11/8/2022,1/8/2023,1/11/2023,3.5,560.44
szDIGS5pzRLYR0BHyAuK8WUtGM1BmBz7Sx09ahq2Y24=,2,11/7/2022,1/13/2023,1/15/2023,,271.09
SPTsvshx9YRy3xLVt4iUAMKC/KfIE8Jheh9CSit0hfs=,2,11/4/2022,1/8/2023,1/12/2023,,998.18
agVoB8V1JoM5Ym/yTEidWAJrX2yqOU+5UIHxqA730IA=,2,11/11/2022,1/24/2023,1/25/2023,,385.05
kW5y75Po7OYvb8bsdZM8KanDeMrBIsSivcCovA5Q4Sc=,2,11/13/2022,1/26/2023,1/27/2023,,381.47
brh2dDMi3uuTlI097z+rmnJruI1K9vZzzIOkqdoTtmM=,2,11/11/2022,1/23/2023,1/25/2023,3.5,186.77
SPTsvshx9YRy3xLVt4iUAMKC/KfIE8Jheh9CSit0hfs=,2,11/12/2022,1/18/2023,1/21/2023,,182.77
Giwn87QxJBu66M4LLcpEptyLT1gudGJlFOVNsbJzUe8=,2,11/6/2022,1/10/2023,1/11/2023,,107.56
nPajr0qdcHXgvtkRtZ6RgB7e3qEcBmiRAFqcsCB3+5s=,5,11/1/2022,1/7/2023,1/8/2023,4.5,178.92
4CQ4I3bji+5hg6U8GGPgOtr4bvIFAuC8adP6cpYahbo=,4,11/6/2022,1/26/2023,1/28/2023,3.5,84.07
QDeycIgKJ6tMW1K/us9aywKuNXr1IhDcSZcqAZG33JI=,5,11/5/2022,1/10/2023,1/12/2023,2.5,249.26
YdTJLKZiGr8Sn44sAfHPT+3Mk4CwHh9nCJjENq0hMSw=,5,11/1/2022,1/2/2023,1/3/2023,,290.95
b2jt4ppVudcOOatb8j1HYuBnfk1kZKAl6+13eh8XTos=,2,11/11/2022,1/11/2023,1/12/2023,2.5,234.53
j9/9Bd0JoRS0fHyS/wt+UOONVoW76EgghtnYrthp+Qg=,2,11/6/2022,1/11/2023,1/12/2023,4.5,243.2
qI6Q1kaH0wnXV7ix7zgplv2VT4UZwfMXDaWEY4OeSz0=,5,11/8/2022,1/13/2023,1/14/2023,2.5,103.86
qgCCxWCy/cWtaKUINpulqbNE1kvJmI9Vh1fdVne7LBc=,1,11/5/2022,1/9/2023,1/10/2023,3.5,160.63
uASkoQSazhoWcmwhGxAh0+AkOZauG0F04ffB226KsWU=,1,11/6/2022,1/24/2023,1/28/2023,2.5,416.29
kl1qEzsuBSAJGd9CqBAEzQbB+No6XiXqDcJo8OoS9BU=,3,11/1/2022,1/6/2023,1/8/2023,,303.98
Oy8M3XKcSu8XkGGLRDBM8gXIyxH6T7UOQL/RPpf42LQ=,5,11/5/2022,1/7/2023,1/11/2023,,1244.61
WCNE9ycrvHikKn+23mk23zc8bOT/FLpksBRR6MIAAMw=,5,11/1/2022,1/4/2023,1/6/2023,4.5,419.16
GwF+j+mEft9FHcci7ejCCeUDRMT91R8SHEiLursUWU0=,5,11/12/2022,1/24/2023,1/25/2023,3.5,386.42
ljChdFfOaZZs5/VN3Zzs94nt542xDnquy/+MitIjziA=,5,11/15/2022,3/11/2023,3/12/2023,4.5,258.67
dmX2DxQAcIO5aY+Ny2KDyJzIqSXckJWiJR2txJq/xUM=,1,11/10/2022,1/11/2023,1/15/2023,3,292.9
lIfWQ4Yhr5RNiXfWiAEFHLYSCInSB0T/fQtU813Iy7s=,5,11/1/2022,1/13/2023,1/16/2023,,962.48
opd3jsIxaeDGzQU9aA5gW+Zf0w6237h1L1UFFLfB6P4=,1,11/5/2022,1/8/2023,1/9/2023,2.5,167.33
VZCDCY9mNldsjudV6y40al3Qcdwcu96J107pAvbDrhE=,5,11/9/2022,1/18/2023,1/20/2023,3,358.15
iVq+f2iUvXPvQ4DMd40FV+M+eaxiLrSa2KWZenBexCg=,2,11/1/2022,1/26/2023,1/28/2023,,685.22
SfIJtyIzwsRpcTbd+lv95UeDR/NdBY7sOqLzlYcZiKM=,5,11/14/2022,1/24/2023,1/25/2023,3.5,58.57
08biCBK5+yEqA5z36V/9QcMzw9wczqK9tQvGf5WIT/Y=,2,11/2/2022,1/2/2023,1/3/2023,4.5,93.38
QsDrmzn7gt5hjsjHSpwQTyhtWG0cEvVRA0G2gCoj/gA=,2,11/2/2022,1/8/2023,1/23/2023,,2641.08
xSq0Q7y2t/9J1gd00l2nK6jRNiX5NkP/MHXtjFg1dM8=,5,11/10/2022,1/18/2023,1/23/2023,,871.89
CEWgCvE+gk3nFZaFvDXuQuzw2lvmKcJARDsTEFkEPL0=,5,11/13/2022,1/24/2023,1/28/2023,3.5,486.26
OFZm8UzVEFZYoqEpJIcWMIR+jbEyDs/Tacg7eu1hXZE=,2,11/9/2022,1/13/2023,1/21/2023,3.5,1128.63
xSq0Q7y2t/9J1gd00l2nK6jRNiX5NkP/MHXtjFg1dM8=,5,11/1/2022,1/9/2023,1/13/2023,,727.92
y46fRcBH4lU33gBAtCWSUO7i/nGUVOGDvaX0frWkgGY=,2,11/6/2022,1/7/2023,1/11/2023,2.5,796.77
kQzI7jxjUTTYVYzp/vWbTu/TQ9MqUF/PBDvvCKzzR2U=,1,11/1/2022,1/2/2023,1/7/2023,4,536.73
KhaNl4rpqCdV9qsOkZJkXpVuwBTV3HUbLP+Kit+uKg0=,2,11/11/2022,1/11/2023,1/13/2023,3,204.31
M/5mX8tjbj9vr+S1HAy1PA6CGGtv04Bxd3dERAIzy64=,5,11/3/2022,1/4/2023,1/6/2023,3.5,359.09
1tzrk2yt4DoXSpjp0Q4uvQjs5cbJyX7TQSXnTwdqQUA=,2,11/12/2022,1/18/2023,1/19/2023,3,205.75
dqxZ45803dG5YSvAXrSPtut4P6UZhIR9upIqvrc81cg=,5,11/10/2022,1/10/2023,1/11/2023,3.5,103.56
7JRfibfncKHNyZh3/3DmtuYMBJUuvpbqjUS3E4dyR3s=,4,11/6/2022,1/24/2023,1/30/2023,3.5,1463.47
+ZrP7LTG5cR+8+i9Z56q9EeHyGawcHC+1D7nDDQ+NOQ=,4,11/5/2022,1/8/2023,1/13/2023,,3963.37
L+jr5PJAARZ1KDGx32jUvAtX6MiRFHCYgMVH9SmBjuk=,4,11/3/2022,1/5/2023,1/12/2023,,16655.39
4CQ4I3bji+5hg6U8GGPgOtr4bvIFAuC8adP6cpYahbo=,4,11/6/2022,1/11/2023,1/14/2023,4.5,384.08
nVHZGPOijSCuU8yM2CanHTQ/0JWsEJcEneJjekd5lHA=,4,11/6/2022,1/26/2023,1/29/2023,,1690.82
YO476F3646TWoTAd6ppBr5v179UQXwtzuj6OmNz2fAE=,3,11/7/2022,1/11/2023,1/15/2023,,826.41
Zp1ZnGQrH9KGtY6SPjqDZ7JJUfxCyvDFdA48NBitCaQ=,5,11/9/2022,1/9/2023,1/12/2023,,1030.66
Hi7br/2mrISzy2eeo44t61wd3ZryvgZgUaYoNGZmOt8=,2,11/14/2022,1/18/2023,1/21/2023,4.5,455.18
bYIJBdXI3ZGnXRbffYY/w/sCGRWoaQbok31X+LWckcY=,3,11/1/2022,1/13/2023,1/16/2023,,2835.37
4+QP6gdwGfffyrBO0Mq9TAXKHNZUbhmVLTM4VNjtFnU=,3,11/5/2022,1/9/2023,1/12/2023,,1130.97
XbeM5n5trhZUeLTLIf8oZgCd/WQ/dMUBCpRMgy0Uwls=,2,11/6/2022,1/7/2023,1/10/2023,3.5,577.99
TW6FXNpb3yP+i/iMGZqbUkayKLnj2WsgkS+IjJ3bpDw=,1,11/6/2022,1/7/2023,1/9/2023,4.5,417.6
9vAekusJDrTloEuvXnVeF/nJ9S0ljV1cpCVqQTKe2bw=,2,11/6/2022,1/18/2023,1/21/2023,2.5,1062.78
1Yguli9ktjxA1fSTlOiIAl/avnjmSYq2Hva9g9Erb50=,2,11/5/2022,1/23/2023,1/24/2023,3.5,324.75
06/EQ7hewdIp3OkjgzRgGJjpYU18YpgNYymmyoIwoNw=,5,11/1/2022,1/6/2023,1/13/2023,,3781.09
xZdx/TXU/m5jSmqo43iVts7LjlS/fXr8FMa8i8pswAI=,5,11/2/2022,1/7/2023,1/10/2023,,535.53
I77wEoRHj+IoJJfl7ZOIv0CKmxzA4Gin1kX7VqjapbE=,1,11/1/2022,1/1/2023,1/2/2023,3.5,194.24
3gqXTbmP/Y3iLpuep32fG/hph7mCERsZP0G7C0Xw7gQ=,2,3/7/2022,1/11/2023,1/31/2023,4,2044.75
UKfVcDqGX7pLEXckrV8pyg3RNsu4I1xWTRXEk2Ti9Jw=,2,4/2/2022,1/7/2023,1/8/2023,2.5,177.74
Zp1ZnGQrH9KGtY6SPjqDZ7JJUfxCyvDFdA48NBitCaQ=,5,4/2/2022,1/6/2023,1/12/2023,,3298.88
t18tCUPQaOmYmLpftrrJrKOYezOaTekUPP+5Ro4mK5Q=,5,10/16/2022,1/24/2023,1/27/2023,4.5,719.62
zSbvZmgfcn9A2U+b8SS2dXpphba28iSSNzYDhXXa3bY=,2,10/17/2022,1/23/2023,1/24/2023,4.5,188.32
tMo8X2biQ+N7/ukdRXjnut/0c1MQFQJNjXUZzwmuVgU=,2,10/10/2022,1/10/2023,1/12/2023,4,420.88
vBhWqfnX4Rau442NsK0dAYv+WvLwhAGFB6bORpUFnsc=,2,4/7/2022,1/26/2023,1/27/2023,3.5,594.92
h3LwyFSnRP4Exlz5Gqvv3+xt0lsvw9UqEP6KPqHJyjY=,5,3/30/2022,1/2/2023,1/3/2023,3.5,261.6
PgTueavbtxduEv2/xSpyAiL3fP5XexeV5YvRCv7jAR0=,5,3/31/2022,1/9/2023,1/11/2023,,977.45
2nGJuNn3v0XLURbu++Mi/+9IthaJguKOEmpB+XZzXV4=,3,4/7/2022,1/23/2023,1/24/2023,3,311.9
rYNwbpeTBGYeWlObz3wXqYdNyfV/p5NOx71A98rwXPs=,5,7/14/2022,1/9/2023,1/10/2023,4,158.97
LZcN3b4lOAEgDQf3/i+/AqTr9Q3GlYoTmrekYsZeHQc=,2,7/12/2022,1/9/2023,1/11/2023,,1266.64
LZcN3b4lOAEgDQf3/i+/AqTr9Q3GlYoTmrekYsZeHQc=,2,7/10/2022,1/7/2023,1/10/2023,,866.59
hlDFzjLY1vOJSXB4u9EsqLHarjy5fwHoOquP+L1Xtg8=,3,7/21/2022,1/26/2023,2/2/2023,,6651.33
MFJwzV/9biHCHFFbeH2I4sHErW7ObRkTl6TTxf/b+GU=,3,7/14/2022,1/7/2023,1/11/2023,4.5,2039.97
7qXx6hbQO0lJkIhMXxLQ2GgLDyolBl+zlRhvwZ9f8uA=,5,7/16/2022,1/26/2023,1/30/2023,,1312.38
9RCjkea2N5hWkq3vCzeffYcn95d1kTBzcCUlkKD/QCE=,2,7/14/2022,1/8/2023,1/10/2023,4.5,542.06
8hDWZ/acbvsrPWw1TUSwOWeSB/99oUnB92rW10Oo46Y=,2,7/21/2022,1/23/2023,1/27/2023,3,1109.48
cMwhJO/gtpDxk93Y2Q3V9PwtQDuy1AE9pY1FrsLkvKM=,5,7/9/2022,1/7/2023,1/11/2023,,1228.66
WD9KbWoGEFzs8YH6icYNZDiPtFTGd7J/CKa3QwqvB/M=,4,7/11/2022,1/6/2023,1/10/2023,,1863.51
phVcIjf6hxGtF9zM+jsuBTUQpxhNRbFlQaV+g9kUcuc=,3,7/11/2022,1/7/2023,1/8/2023,3,254.94
bG5WFQllKdvH8P//D3ZR13Ygr1WlkAYZMftRL4uHlt0=,3,7/9/2022,1/4/2023,1/5/2023,,183.57
bG5WFQllKdvH8P//D3ZR13Ygr1WlkAYZMftRL4uHlt0=,3,7/18/2022,1/13/2023,1/14/2023,,246.59
zSbvZmgfcn9A2U+b8SS2dXpphba28iSSNzYDhXXa3bY=,2,7/13/2022,1/5/2023,1/6/2023,3.5,107.39
67cXTIxaXLEsK9o+ET6BkzJ91szl1rB8g+v6oLw7fm8=,2,3/12/2023,3/11/2023,3/12/2023,2.5,195.16
KBqU6eQtMyhGEQdurDJXZkmvySnBBUtihZZ9GBPgiiU=,1,3/13/2023,3/12/2023,3/13/2023,3,88.06
aTAgeFJQqgD4Tu0t8C+inQNEXnLb9kRx9eeS67GFfOU=,3,3/13/2023,3/12/2023,3/13/2023,,315.64
GHROcAsKG0Qe7ddmX9UnLQ0tD1+2JCsVxmEvedMf+HA=,5,3/12/2023,3/11/2023,3/12/2023,2.5,70.47
3+UwrsECkznrcbgcdEWS9wtro06MLfXi7knYHJmVTfo=,3,3/13/2023,3/12/2023,3/13/2023,3.5,216.83
PPPiKD59DwXkPzNB4yrUh/xad76OafE1u+4dUFRDMmw=,2,3/12/2023,3/11/2023,3/12/2023,2.5,240.72
56BNyrbadH2aGNBPkTLyQjcIzIDNJf4pq5QF/wdRDfU=,3,3/14/2023,3/13/2023,3/14/2023,,608.58
bJxjHOvGJhtedC9wT2yNwpQTcU7vu+4hhoOxVVziLvo=,3,3/12/2023,3/11/2023,3/12/2023,,280.15
Bq+ZT+v/zSLA/FAJxEdSjrKvIakFvwhsdnW+93UffFs=,5,3/13/2023,3/12/2023,3/13/2023,2.5,204
JkyJ6zB3YWwuFCwQouuyIzQ+WaIPLctidMzhwsgi3J8=,1,3/14/2023,3/13/2023,3/14/2023,2.5,70.25
2EAfUzqN8pzWcc+NCYjrRR6XUW45ETXdrKWH6V7VwTc=,1,3/14/2023,3/13/2023,3/14/2023,3.5,361.81
5RAgZVy0y2XG9CUgopYCGo4DGNb35qjJgK/ohEcWna4=,5,3/14/2023,3/13/2023,3/14/2023,4,241.99
K12cve/OFZLtlVebOVxwW/hNDpNVdEQ55JMgm3KZkz8=,2,3/12/2023,3/11/2023,3/12/2023,3,132.9
rCeTdivtEzyjQSurgDwrdWPS/ED4pGAUHkvpxD9v4hk=,5,3/14/2023,3/13/2023,3/14/2023,,295.66
ylfWdI3Ef5gah1D/zP0BCN5L3W1VDWEjemb71oHsQWE=,3,3/13/2023,3/12/2023,3/13/2023,3.5,200.85
0GrwM99S2azM1mXIDaYYP72Sb9dfZrrFYPbjE1ejQ0c=,1,3/12/2023,3/11/2023,3/12/2023,3.5,116.29
WELjw54wthK2OfW8dalJs/7VAcncV5GFzP03F7w3UJc=,3,3/14/2023,3/13/2023,3/14/2023,3,135.95
PjvYhVga6wUZiErE7go7hlapLeweohPF03vtmgp73zc=,4,3/12/2023,3/11/2023,3/12/2023,4,246.37
Oc9ClypG2P6AyAyOD1pn3daOuL9NLXxowJ5R7iibG+c=,2,3/14/2023,3/13/2023,3/14/2023,3.5,360.03
sKACfnee7UlZYRmPQjc40DDTchkIvqUYyzxtTS+huP4=,1,3/12/2023,3/11/2023,3/12/2023,3.5,227.94
GLxnGFAROqP7ZZsMeqzlhu2YRcd6W0YUOFdYTekwMMw=,3,3/13/2023,3/12/2023,3/13/2023,3,156.01
SXOvgkQtTSnabF28RligAZG12oIpEG3D1v+6AJPzcRQ=,2,3/12/2023,3/11/2023,3/12/2023,4,183.88
ljJq7jqVcUUOL2ZyCZkh7QhHx6BF5HaAbLqQQqATe4Y=,5,3/13/2023,3/12/2023,3/13/2023,3.5,41.71
V58Os3jCmoEr89EkFD5i+1OO4xyVkC6wHp9e1aOlHow=,2,3/12/2023,3/11/2023,3/12/2023,3.5,180.9
SujR4EuGLgRsgI85b2PWN6HPhSMh6lvVJAOBA7GIHrM=,1,3/14/2023,3/13/2023,3/14/2023,3,88.83
P/4z1A3JOS+yBrlNawvXZTDy7DOj/CivSXl+JWzDg78=,4,3/14/2023,3/13/2023,3/14/2023,,156.12
Yab4xDaPlCgigj8iAejBasqcLNSlBDItVoqaZvDc+nQ=,2,3/12/2023,3/11/2023,3/12/2023,3,99.49
